candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g59_high_beta_cap_safe,high_beta,warehouse,2000,21,3,0,1,9,0,8,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,maze,1000,45,0,0,0,45,0,0,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,maze,2000,43,0,8,10,32,1,0,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,random,1000,54,6,0,0,44,0,4,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,random,2000,54,6,10,10,32,0,6,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,random,500,44,3,0,2,37,0,2,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,warehouse,1000,32,0,0,0,0,0,32,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,warehouse,2000,20,2,0,3,9,0,6,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,maze,1000,45,0,0,0,45,0,0,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,maze,2000,42,1,9,9,31,1,0,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,random,1000,57,6,0,0,44,0,7,0,0,False,False,False,False,False
