group_type,group_value,target_rule,predicted_rule,target_family,predicted_family,correct_rule,correct_family,count
map,empty-16-16,wait_heavy,wait_light,wait,wait,0,1,3
map,empty-16-16,block_heavy,neutral_additive,block,additive_or_neutral,0,0,2
map,empty-16-16,block_light,block_heavy,block,block,0,1,2
map,empty-16-16,block_light,commit_heavy,block,commit,0,0,2
map,empty-16-16,block_light,neutral_additive,block,additive_or_neutral,0,0,2
map,empty-16-16,commit_heavy,neutral_additive,commit,additive_or_neutral,0,0,2
map,empty-16-16,neutral_additive,commit_heavy,additive_or_neutral,commit,0,0,2
map,empty-16-16,wait_heavy,commit_heavy,wait,commit,0,0,2
map,empty-16-16,wait_light,neutral_additive,wait,additive_or_neutral,0,0,2
map,empty-16-16,block_light,block_light,block,block,1,1,1
map,empty-16-16,commit_heavy,block_heavy,commit,block,0,0,1
map,empty-16-16,decay_090,block_heavy,decay,block,0,0,1
map,empty-16-16,decay_090,block_light,decay,block,0,0,1
map,empty-16-16,decay_090,commit_heavy,decay,commit,0,0,1
map,empty-16-16,decay_095,block_heavy,decay,block,0,0,1
map,empty-16-16,decay_095,commit_heavy,decay,commit,0,0,1
map,empty-16-16,neutral_additive,block_light,additive_or_neutral,block,0,0,1
map,empty-16-16,wait_heavy,block_heavy,wait,block,0,0,1
map,empty-16-16,wait_heavy,neutral_additive,wait,additive_or_neutral,0,0,1
map,empty-32-32,neutral_additive,neutral_additive,additive_or_neutral,additive_or_neutral,1,1,40
map,empty-32-32,wait_light,wait_light,wait,wait,1,1,32
map,empty-32-32,commit_heavy,commit_heavy,commit,commit,1,1,29
map,empty-32-32,block_heavy,block_heavy,block,block,1,1,24
map,empty-32-32,commit_heavy,neutral_additive,commit,additive_or_neutral,0,0,19
map,empty-32-32,block_heavy,commit_heavy,block,commit,0,0,13
map,empty-32-32,neutral_additive,block_heavy,additive_or_neutral,block,0,0,11
map,empty-32-32,neutral_additive,commit_heavy,additive_or_neutral,commit,0,0,11
map,empty-32-32,wait_light,neutral_additive,wait,additive_or_neutral,0,0,9
map,empty-32-32,block_heavy,neutral_additive,block,additive_or_neutral,0,0,8
map,empty-32-32,neutral_additive,wait_light,additive_or_neutral,wait,0,0,7
